"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"404","616",404,"616.1","1448","8","3.8.0","O3",""
"405","306",405,"306.1","724","16","3.8.1","O1",""
"406","265",406,"265.1","512","1","3.8.0","O1",""
"407","596",407,"596.1","1448","16","3.7.1","O3",""
"408","608",408,"608.1","1448","2","3.8.0","O3",""
"409","40",409,"40.1","1448","8","3.6.2","O0",""
"410","427",410,"427.1","1024","16","3.7.1","O2",""
"411","219",411,"219.1","1024","1","3.7.0","O1",""
"412","210",412,"210.1","724","16","3.6.2","O1",""
"413","486",413,"486.1","724","2","3.9.0","O2",""
"414","663",414,"663.1","1024","8","3.9.0","O3",""
"415","406",415,"406.1","724","32","3.7.0","O2",""
"416","479",416,"479.1","1024","32","3.8.1","O2",""
"417","248",417,"248.1","1448","2","3.7.1","O1",""
"418","235",418,"235.1","1024","16","3.7.0","O1",""
"419","455",419,"455.1","1024","32","3.8.0","O2",""
"420","638",420,"638.1","724","8","3.8.1","O3",""
"421","97",421,"97.1","512","1","3.8.0","O0",""
"422","507",422,"507.1","1024","1","3.5.1","O3",""
"423","358",423,"358.1","724","32","3.5.1","O2",""
"424","639",424,"639.1","1024","8","3.8.1","O3",""
"425","338",425,"338.1","724","1","3.5.1","O2",""
"426","109",426,"109.1","512","8","3.8.0","O0",""
"427","341",427,"341.1","512","2","3.5.1","O2",""
"428","194",428,"194.1","724","1","3.6.2","O1",""
"429","172",429,"172.1","1448","1","3.5.1","O1",""
"430","567",430,"567.1","1024","8","3.7.0","O3",""
"431","566",431,"566.1","724","8","3.7.0","O3",""
"432","59",432,"59.1","1024","4","3.7.0","O0",""
"433","167",433,"167.1","1024","32","3.9.0","O0",""
"434","48",434,"48.1","1448","32","3.6.2","O0",""
"435","305",435,"305.1","512","16","3.8.1","O1",""
"436","579",436,"579.1","1024","1","3.7.1","O3",""
"437","185",437,"185.1","512","16","3.5.1","O1",""
"438","237",438,"237.1","512","32","3.7.0","O1",""
"439","137",439,"137.1","512","16","3.8.1","O0",""
"440","17",440,"17.1","512","16","3.5.1","O0",""
"441","14",441,"14.1","724","8","3.5.1","O0",""
"442","207",442,"207.1","1024","8","3.6.2","O1",""
"443","630",443,"630.1","724","2","3.8.1","O3",""
"444","123",444,"123.1","1024","1","3.8.1","O0",""
"445","432",445,"432.1","1448","32","3.7.1","O2",""
